timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622877582232,200,HTTP Request,200,OK,ListUser 4-1,text,true,,1968,154,1,28,https://reqres.in/api/users?page=2,199,0,128
1622877582407,183,HTTP Request,200,OK,GetUser 2-3,text,true,,1222,156,4,37,https://reqres.in/api/users/10,183,0,125
1622877582064,561,RegisterUser,400,Bad Request,CreateUser 1-1,text,false,,943,324,34,39,https://reqres.in/api/register,561,0,187
1622877582148,484,RegisterUser,400,Bad Request,CreateUser 1-6,text,false,,937,331,34,39,https://reqres.in/api/register,484,0,128
1622877582081,551,RegisterUser,400,Bad Request,CreateUser 1-2,text,false,,943,321,34,39,https://reqres.in/api/register,551,0,170
1622877582160,474,RegisterUser,400,Bad Request,CreateUser 1-7,text,false,,935,329,34,39,https://reqres.in/api/register,474,0,136
1622877582093,545,RegisterUser,400,Bad Request,CreateUser 1-3,text,false,,941,331,35,40,https://reqres.in/api/register,545,0,154
1622877582120,519,RegisterUser,400,Bad Request,CreateUser 1-4,text,false,,943,333,35,40,https://reqres.in/api/register,519,0,135
1622877582139,500,RegisterUser,400,Bad Request,CreateUser 1-5,text,false,,935,320,35,40,https://reqres.in/api/register,500,0,122
1622877582178,467,RegisterUser,400,Bad Request,CreateUser 1-8,text,false,,939,316,35,40,https://reqres.in/api/register,467,0,133
1622877582198,454,RegisterUser,400,Bad Request,CreateUser 1-9,text,false,,937,329,35,40,https://reqres.in/api/register,453,0,129
1622877582211,451,RegisterUser,400,Bad Request,CreateUser 1-10,text,false,,939,324,36,41,https://reqres.in/api/register,451,0,127
1622877582228,460,RegisterUser,400,Bad Request,CreateUser 1-11,text,false,,943,330,37,42,https://reqres.in/api/register,460,0,133
1622877582255,442,HTTP Request,204,No Content,DeleteUser 3-1,,true,,832,178,1,43,https://reqres.in/api/users/23,0,0,121
1622877582262,454,RegisterUser,400,Bad Request,CreateUser 1-13,text,false,,943,327,39,44,https://reqres.in/api/register,454,0,128
1622877582279,447,RegisterUser,400,Bad Request,CreateUser 1-14,text,false,,941,321,40,45,https://reqres.in/api/register,447,0,121
1622877582296,453,RegisterUser,400,Bad Request,CreateUser 1-15,text,false,,937,317,41,46,https://reqres.in/api/register,452,0,131
1622877582314,463,HTTP Request,404,Not Found,GetUser 2-2,text,false,,914,156,5,48,https://reqres.in/api/users/25,463,0,133
1622877582312,467,RegisterUser,400,Bad Request,CreateUser 1-16,text,false,,935,326,43,47,https://reqres.in/api/register,467,0,135
1622877582330,456,RegisterUser,400,Bad Request,CreateUser 1-17,text,false,,949,316,43,47,https://reqres.in/api/register,456,0,127
1622877582606,186,HTTP Request,200,OK,GetUser 2-5,text,true,,1218,155,4,48,https://reqres.in/api/users/6,186,0,126
1622877582365,445,RegisterUser,400,Bad Request,CreateUser 1-19,text,false,,939,327,45,49,https://reqres.in/api/register,445,0,125
1622877582385,450,RegisterUser,400,Bad Request,CreateUser 1-20,text,false,,935,337,46,50,https://reqres.in/api/register,450,0,128
1622877582401,450,RegisterUser,400,Bad Request,CreateUser 1-21,text,false,,941,326,46,50,https://reqres.in/api/register,450,0,127
1622877582422,458,RegisterUser,400,Bad Request,CreateUser 1-22,text,false,,941,330,49,53,https://reqres.in/api/register,458,0,132
1622877582435,452,RegisterUser,400,Bad Request,CreateUser 1-23,text,false,,939,332,49,53,https://reqres.in/api/register,452,0,131
1622877582450,460,RegisterUser,400,Bad Request,CreateUser 1-24,text,false,,937,327,50,55,https://reqres.in/api/register,460,0,123
1622877582466,456,RegisterUser,400,Bad Request,CreateUser 1-25,text,false,,939,326,50,55,https://reqres.in/api/register,456,0,128
1622877582627,320,Create user request,201,Created,CreateUser 1-1,text,true,,968,226,50,55,https://reqres.in/api/users/,320,0,0
1622877582632,330,Create user request,201,Created,CreateUser 1-2,text,true,,971,225,49,54,https://reqres.in/api/users/,330,0,0
1622877582634,330,Create user request,201,Created,CreateUser 1-7,text,true,,973,227,48,53,https://reqres.in/api/users/,330,0,0
1622877582639,325,Create user request,201,Created,CreateUser 1-3,text,true,,971,227,48,53,https://reqres.in/api/users/,325,0,0
1622877582632,332,Create user request,201,Created,CreateUser 1-6,text,true,,971,227,48,53,https://reqres.in/api/users/,332,0,0
1622877582500,464,RegisterUser,400,Bad Request,CreateUser 1-27,text,false,,941,324,48,53,https://reqres.in/api/register,464,0,128
1622877582639,326,Create user request,201,Created,CreateUser 1-4,text,true,,972,228,45,50,https://reqres.in/api/users/,326,0,0
1622877582489,476,RegisterUser,400,Bad Request,CreateUser 1-26,text,false,,937,320,45,50,https://reqres.in/api/register,476,0,129
1622877582509,458,HTTP Request,404,Not Found,GetUser 2-4,text,false,,910,156,5,49,https://reqres.in/api/users/32,458,0,126
1622877582639,331,Create user request,201,Created,CreateUser 1-5,text,true,,965,227,44,48,https://reqres.in/api/users/,331,0,0
1622877582652,321,Create user request,201,Created,CreateUser 1-9,text,true,,970,226,43,47,https://reqres.in/api/users/,321,0,0
1622877582646,327,Create user request,201,Created,CreateUser 1-8,text,true,,963,223,43,47,https://reqres.in/api/users/,327,0,0
1622877582662,323,Create user request,201,Created,CreateUser 1-10,text,true,,973,227,41,45,https://reqres.in/api/users/,323,0,0
1622877582535,468,RegisterUser,400,Bad Request,CreateUser 1-29,text,false,,941,320,40,44,https://reqres.in/api/register,468,0,136
1622877582552,451,RegisterUser,400,Bad Request,CreateUser 1-30,text,false,,937,334,40,44,https://reqres.in/api/register,451,0,129
1622877582244,768,RegisterUser,400,Bad Request,CreateUser 1-12,text,false,,935,340,40,44,https://reqres.in/api/register,768,0,441
