timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1622878100764,1310,HTTP Request,201,Created,RegisterUser 1-22,text,true,,379,1393,59,60,http://127.0.0.1:8000/api/register/,,1310,ISO-8859-1,1,0,bullst,0,5
1622878100714,1434,HTTP Request,201,Created,RegisterUser 1-19,text,true,,383,1346,58,59,http://127.0.0.1:8000/api/register/,,1434,ISO-8859-1,1,0,bullst,0,55
1622878100652,1545,HTTP Request,201,Created,RegisterUser 1-8,text,true,,380,1336,57,58,http://127.0.0.1:8000/api/register/,,1545,ISO-8859-1,1,0,bullst,0,117
1622878100652,1601,HTTP Request,201,Created,RegisterUser 1-3,text,true,,383,1366,56,57,http://127.0.0.1:8000/api/register/,,1601,ISO-8859-1,1,0,bullst,0,117
1622878100652,1635,HTTP Request,201,Created,RegisterUser 1-12,text,true,,379,1405,55,56,http://127.0.0.1:8000/api/register/,,1635,ISO-8859-1,1,0,bullst,0,117
1622878100653,1736,HTTP Request,201,Created,RegisterUser 1-10,text,true,,377,1347,54,55,http://127.0.0.1:8000/api/register/,,1736,ISO-8859-1,1,0,bullst,0,116
1622878100648,1948,HTTP Request,201,Created,RegisterUser 1-15,text,true,,382,1371,53,54,http://127.0.0.1:8000/api/register/,,1948,ISO-8859-1,1,0,bullst,0,121
1622878100665,2043,HTTP Request,201,Created,RegisterUser 1-16,text,true,,384,1365,52,53,http://127.0.0.1:8000/api/register/,,2043,ISO-8859-1,1,0,bullst,0,105
1622878100814,1988,HTTP Request,201,Created,RegisterUser 1-25,text,true,,383,1386,51,52,http://127.0.0.1:8000/api/register/,,1988,ISO-8859-1,1,0,bullst,0,2
1622878100780,2064,HTTP Request,201,Created,RegisterUser 1-23,text,true,,378,1368,50,51,http://127.0.0.1:8000/api/register/,,2064,ISO-8859-1,1,0,bullst,0,2
1622878100729,2160,HTTP Request,201,Created,RegisterUser 1-20,text,true,,379,1359,49,50,http://127.0.0.1:8000/api/register/,,2160,ISO-8859-1,1,0,bullst,0,40
1622878100653,2271,HTTP Request,201,Created,RegisterUser 1-2,text,true,,379,1407,48,49,http://127.0.0.1:8000/api/register/,,2271,ISO-8859-1,1,0,bullst,0,117
1622878100797,2199,HTTP Request,201,Created,RegisterUser 1-24,text,true,,377,1371,47,48,http://127.0.0.1:8000/api/register/,,2199,ISO-8859-1,1,0,bullst,0,2
1622878100830,2037,login,400,Bad Request,Login_logout_profile 2-1,text,false,,324,655,1,50,http://127.0.0.1:8000/api/login/,,2037,ISO-8859-1,1,1,bullst,0,2
1622878100916,2116,HTTP Request,201,Created,RegisterUser 1-31,text,true,,377,1373,46,47,http://127.0.0.1:8000/api/register/,,2116,ISO-8859-1,1,0,bullst,0,0
1622878100852,2262,HTTP Request,201,Created,RegisterUser 1-27,text,true,,379,1361,45,46,http://127.0.0.1:8000/api/register/,,2262,ISO-8859-1,1,0,bullst,0,2
1622878103072,41,GetUserProfile,403,Forbidden,Login_logout_profile 2-1,text,false,,358,148,1,46,http://127.0.0.1:8000/api/profile/,,41,ISO-8859-1,1,1,bullst,0,0
1622878100870,2290,HTTP Request,201,Created,RegisterUser 1-28,text,true,,377,1349,44,45,http://127.0.0.1:8000/api/register/,,2290,ISO-8859-1,1,0,bullst,0,2
1622878103146,32,logout,403,Forbidden,Login_logout_profile 2-1,text,false,,341,300,1,44,http://127.0.0.1:8000/api/logout/,,31,ISO-8859-1,1,1,bullst,0,0
1622878100965,2248,HTTP Request,201,Created,RegisterUser 1-34,text,true,,380,1370,43,43,http://127.0.0.1:8000/api/register/,,2247,ISO-8859-1,1,0,bullst,0,1
1622878101051,2233,HTTP Request,201,Created,RegisterUser 1-39,text,true,,380,1400,42,42,http://127.0.0.1:8000/api/register/,,2233,ISO-8859-1,1,0,bullst,0,1
1622878101068,2263,HTTP Request,201,Created,RegisterUser 1-40,text,true,,376,1380,41,41,http://127.0.0.1:8000/api/register/,,2263,ISO-8859-1,1,0,bullst,0,0
1622878101148,2226,HTTP Request,201,Created,RegisterUser 1-44,text,true,,384,1361,40,40,http://127.0.0.1:8000/api/register/,,2226,ISO-8859-1,1,0,bullst,0,1
1622878101202,2215,HTTP Request,201,Created,RegisterUser 1-48,text,true,,380,1344,39,39,http://127.0.0.1:8000/api/register/,,2215,ISO-8859-1,1,0,bullst,0,1
1622878101273,2178,HTTP Request,201,Created,RegisterUser 1-52,text,true,,378,1322,38,38,http://127.0.0.1:8000/api/register/,,2178,ISO-8859-1,1,0,bullst,0,1
1622878101040,2449,HTTP Request,201,Created,RegisterUser 1-38,text,true,,380,1394,37,37,http://127.0.0.1:8000/api/register/,,2449,ISO-8859-1,1,0,bullst,0,2
